carrierID;carrierFleetSize;vehicleType;vehicle_IdstartLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep20_carrier;1;cepVehicleType0;20_v0;4867;x=4598704,0:y=5814518,0;4908;x=4600874,0:y=5811455,25;10800,0;11398,0;3991,4072998199363;598,0;
cep20_carrier;1;cepVehicleType0;20_v0;4908;x=4600874,0:y=5811455,25;4916;x=4601025,0:y=5811965,75;11518,0;11573,0;372,0;55,0;
cep20_carrier;1;cepVehicleType0;20_v0;4916;x=4601025,0:y=5811965,75;7441;x=4599826,25:y=5814440,25;11693,0;12446,0;5022,096263823801;753,0;
cep20_carrier;1;cepVehicleType0;20_v0;7441;x=4599826,25:y=5814440,25;4867;x=4598704,0:y=5814518,0;12566,0;12665,0;663,0;99,0;
cep3_carrier;1;cepVehicleType0;3_v0;8398;x=4588888,5:y=5816978,0;1163;x=4588306,0:y=5818339,75;10800,0;10992,0;1282,3198313159012;192,0;
cep3_carrier;1;cepVehicleType0;3_v0;1163;x=4588306,0:y=5818339,75;1229;x=4589365,75:y=5817224,75;11112,0;11400,0;1924,844989334233;288,0;
cep3_carrier;1;cepVehicleType0;3_v0;1229;x=4589365,75:y=5817224,75;872;x=4589661,0:y=5815013,75;11520,0;11884,0;2426,790969397979;364,0;
cep3_carrier;1;cepVehicleType0;3_v0;872;x=4589661,0:y=5815013,75;8034;x=4588936,25:y=5815944,75;12004,0;12236,0;1550,585172077144;232,0;
cep3_carrier;1;cepVehicleType0;3_v0;8034;x=4588936,25:y=5815944,75;6833;x=4588945,25:y=5816749,75;12356,0;12437,0;543,0;81,0;
cep3_carrier;1;cepVehicleType0;3_v0;6833;x=4588945,25:y=5816749,75;8398;x=4588888,5:y=5816978,0;12557,0;12590,0;222,0;33,0;
cep2_carrier;1;cepVehicleType0;2_v0;1086;x=4587534,5:y=5816893,5;1073;x=4587917,0:y=5816525,0;10800,0;10932,0;885,4395757346045;132,0;
cep2_carrier;1;cepVehicleType0;2_v0;1073;x=4587917,0:y=5816525,0;699;x=4587897,0:y=5811220,5;11052,0;12029,0;6518,122303663451;977,0;
cep2_carrier;1;cepVehicleType0;2_v0;699;x=4587897,0:y=5811220,5;655;x=4586943,5:y=5811813,5;12149,0;12291,0;947,5575360837604;142,0;
cep2_carrier;1;cepVehicleType0;2_v0;655;x=4586943,5:y=5811813,5;615;x=4586496,0:y=5812396,25;12411,0;12529,0;790,2255918190594;118,0;
cep2_carrier;1;cepVehicleType0;2_v0;615;x=4586496,0:y=5812396,25;625;x=4586428,25:y=5812841,75;12649,0;12649,0;0,0;0,0;
cep2_carrier;1;cepVehicleType0;2_v0;625;x=4586428,25:y=5812841,75;1027;x=4587055,0:y=5816541,0;12769,0;13250,0;3212,52561104342;481,0;
cep2_carrier;1;cepVehicleType0;2_v0;1027;x=4587055,0:y=5816541,0;1008;x=4586254,5:y=5818844,0;13370,0;13911,0;3610,06055354637;541,0;
cep2_carrier;1;cepVehicleType0;2_v0;1008;x=4586254,5:y=5818844,0;1029;x=4586426,0:y=5817172,0;14031,0;14432,0;2676,462431476043;401,0;
cep2_carrier;1;cepVehicleType0;2_v0;1029;x=4586426,0:y=5817172,0;1085;x=4587534,5:y=5816893,5;14552,0;14680,0;859,0;128,0;
cep2_carrier;1;cepVehicleType0;2_v0;1085;x=4587534,5:y=5816893,5;1086;x=4587534,5:y=5816893,5;14800,0;14800,0;0,0;0,0;
cep19_carrier;1;cepVehicleType0;19_v0;5323;x=4598544,5:y=5820962,5;28386;x=4599159,0:y=5820568,75;10800,0;10894,0;632,6198454678461;94,0;
cep19_carrier;1;cepVehicleType0;19_v0;28386;x=4599159,0:y=5820568,75;5381;x=4599258,5:y=5821337,5;11014,0;11155,0;940,0901306412602;141,0;
cep19_carrier;1;cepVehicleType0;19_v0;5381;x=4599258,5:y=5821337,5;28416;x=4599980,25:y=5821839,5;11275,0;11395,0;801,6012047528673;120,0;
cep19_carrier;1;cepVehicleType0;19_v0;28416;x=4599980,25:y=5821839,5;5460;x=4600942,0:y=5821894,75;11515,0;11677,0;1081,0;162,0;
cep19_carrier;1;cepVehicleType0;19_v0;5460;x=4600942,0:y=5821894,75;5448;x=4601051,0:y=5820961,0;11797,0;11895,0;655,0;98,0;
cep19_carrier;1;cepVehicleType0;19_v0;5448;x=4601051,0:y=5820961,0;3549;x=4600293,25:y=5819824,5;12015,0;12357,0;2283,6499484934707;342,0;
cep19_carrier;1;cepVehicleType0;19_v0;3549;x=4600293,25:y=5819824,5;7029;x=4600733,0:y=5819543,25;12477,0;12565,0;591,0;88,0;
cep19_carrier;1;cepVehicleType0;19_v0;7029;x=4600733,0:y=5819543,25;5121;x=4599402,5:y=5819343,25;12685,0;13016,0;2210,846874803097;331,0;
