carrierID;carrierFleetSize;vehicleType;vehicle_Id;startLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep3_carrier;1;cepVehicleType0;3_v0;8398;x=4588888,5:y=5816978,0;1163;x=4588306,0:y=5818339,75;10800;10992;1282,319831;192;
cep3_carrier;1;cepVehicleType0;3_v0;1163;x=4588306,0:y=5818339,75;1229;x=4589365,75:y=5817224,75;11112;11400;1924,844989;288;
cep3_carrier;1;cepVehicleType0;3_v0;1229;x=4589365,75:y=5817224,75;872;x=4589661,0:y=5815013,75;11520;11884;2426,790969;364;
cep3_carrier;1;cepVehicleType0;3_v0;872;x=4589661,0:y=5815013,75;8034;x=4588936,25:y=5815944,75;12004;12236;1550,585172;232;
cep3_carrier;1;cepVehicleType0;3_v0;8034;x=4588936,25:y=5815944,75;6833;x=4588945,25:y=5816749,75;12356;12437;543;81;
cep3_carrier;1;cepVehicleType0;3_v0;6833;x=4588945,25:y=5816749,75;8398;x=4588888,5:y=5816978,0;12557;12590;222;33;
cep2_carrier;1;cepVehicleType0;2_v0;1086;x=4587534,5:y=5816893,5;1073;x=4587917,0:y=5816525,0;10800;10932;885,4395757;132;
cep2_carrier;1;cepVehicleType0;2_v0;1073;x=4587917,0:y=5816525,0;699;x=4587897,0:y=5811220,5;11052;12029;6518,122304;977;
cep2_carrier;1;cepVehicleType0;2_v0;699;x=4587897,0:y=5811220,5;655;x=4586943,5:y=5811813,5;12149;12291;947,5575361;142;
cep2_carrier;1;cepVehicleType0;2_v0;655;x=4586943,5:y=5811813,5;615;x=4586496,0:y=5812396,25;12411;12529;790,2255918;118;
cep2_carrier;1;cepVehicleType0;2_v0;615;x=4586496,0:y=5812396,25;625;x=4586428,25:y=5812841,75;12649;12649;0;0;
cep2_carrier;1;cepVehicleType0;2_v0;625;x=4586428,25:y=5812841,75;1027;x=4587055,0:y=5816541,0;12769;13250;3212,525611;481;
cep2_carrier;1;cepVehicleType0;2_v0;1027;x=4587055,0:y=5816541,0;1008;x=4586254,5:y=5818844,0;13370;13911;3610,060554;541;
cep2_carrier;1;cepVehicleType0;2_v0;1008;x=4586254,5:y=5818844,0;1029;x=4586426,0:y=5817172,0;14031;14432;2676,462431;401;
cep2_carrier;1;cepVehicleType0;2_v0;1029;x=4586426,0:y=5817172,0;1085;x=4587534,5:y=5816893,5;14552;14680;859;128;
cep2_carrier;1;cepVehicleType0;2_v0;1085;x=4587534,5:y=5816893,5;1086;x=4587534,5:y=5816893,5;14800;14800;0;0;
cep19_carrier;1;cepVehicleType0;19_v0;5323;x=4598544,5:y=5820962,5;28386;x=4599159,0:y=5820568,75;10800;10894;632,6198455;94;
cep19_carrier;1;cepVehicleType0;19_v0;28386;x=4599159,0:y=5820568,75;5381;x=4599258,5:y=5821337,5;11014;11155;940,0901306;141;
cep19_carrier;1;cepVehicleType0;19_v0;5381;x=4599258,5:y=5821337,5;28416;x=4599980,25:y=5821839,5;11275;11395;801,6012048;120;
cep19_carrier;1;cepVehicleType0;19_v0;28416;x=4599980,25:y=5821839,5;5460;x=4600942,0:y=5821894,75;11515;11677;1081;162;
cep19_carrier;1;cepVehicleType0;19_v0;5460;x=4600942,0:y=5821894,75;5448;x=4601051,0:y=5820961,0;11797;11895;655;98;
cep19_carrier;1;cepVehicleType0;19_v0;5448;x=4601051,0:y=5820961,0;3549;x=4600293,25:y=5819824,5;12015;12357;2283,649948;342;
cep19_carrier;1;cepVehicleType0;19_v0;3549;x=4600293,25:y=5819824,5;7029;x=4600733,0:y=5819543,25;12477;12565;591;88;
cep19_carrier;1;cepVehicleType0;19_v0;7029;x=4600733,0:y=5819543,25;5121;x=4599402,5:y=5819343,25;12685;13016;2210,846875;331;
cep19_carrier;1;cepVehicleType0;19_v0;5121;x=4599402,5:y=5819343,25;28403;x=4598742,5:y=5819653,0;13136;13242;711,1973299;106;
cep19_carrier;1;cepVehicleType0;19_v0;28403;x=4598742,5:y=5819653,0;3525;x=4597536,75:y=5819488,25;13362;13574;1417,50766;212;
cep19_carrier;1;cepVehicleType0;19_v0;3525;x=4597536,75:y=5819488,25;5056;x=4597370,25:y=5818952,0;13694;13954;1735,298781;260;
cep19_carrier;1;cepVehicleType0;19_v0;5056;x=4597370,25:y=5818952,0;28353;x=4596859,25:y=5819460,0;14074;14172;655,1929972;98;
cep19_carrier;1;cepVehicleType0;19_v0;28353;x=4596859,25:y=5819460,0;3403;x=4596040,5:y=5819817,5;14292;14383;613;91;
cep19_carrier;1;cepVehicleType0;19_v0;3403;x=4596040,5:y=5819817,5;3287;x=4595386,0:y=5819283,5;14503;14672;1132,036175;169;
cep19_carrier;1;cepVehicleType0;19_v0;3287;x=4595386,0:y=5819283,5;3297;x=4595905,25:y=5818436,0;14792;14979;1249,056299;187;
cep19_carrier;1;cepVehicleType0;19_v0;3297;x=4595905,25:y=5818436,0;3379;x=4596715,25:y=5818660,75;15099;15364;1769;265;
cep19_carrier;1;cepVehicleType0;19_v0;3379;x=4596715,25:y=5818660,75;3408;x=4596269,25:y=5819344,25;15484;15584;668,5964998;100;
cep19_carrier;1;cepVehicleType0;19_v0;3408;x=4596269,25:y=5819344,25;3522;x=4596580,75:y=5820132,5;15704;15894;1269,680132;190;
cep19_carrier;1;cepVehicleType0;19_v0;3522;x=4596580,75:y=5820132,5;28364;x=4597351,0:y=5821409,75;16014;16240;1512,617139;226;
cep19_carrier;1;cepVehicleType0;19_v0;28364;x=4597351,0:y=5821409,75;4035;x=4595824,0:y=5822525,0;16360;16658;1990,272211;298;
cep19_carrier;1;cepVehicleType0;19_v0;4035;x=4595824,0:y=5822525,0;28328;x=4596288,75:y=5822940,75;16778;16888;734;110;
cep19_carrier;1;cepVehicleType0;19_v0;28328;x=4596288,75:y=5822940,75;4203;x=4596666,0:y=5823643,75;17008;17096;591,4308738;88;
cep19_carrier;1;cepVehicleType0;19_v0;4203;x=4596666,0:y=5823643,75;5357;x=4598089,5:y=5823881,0;17216;17422;1373,570916;206;
cep19_carrier;1;cepVehicleType0;19_v0;5357;x=4598089,5:y=5823881,0;5408;x=4599877,75:y=5823451,5;17542;17914;2486,460494;372;
cep19_carrier;1;cepVehicleType0;19_v0;5408;x=4599877,75:y=5823451,5;5396;x=4598966,25:y=5822115,0;18034;18237;1357,069454;203;
cep19_carrier;1;cepVehicleType0;19_v0;5396;x=4598966,25:y=5822115,0;5270;x=4597966,5:y=5820958,75;18357;18631;1828,861595;274;
cep19_carrier;1;cepVehicleType0;19_v0;5270;x=4597966,5:y=5820958,75;5323;x=4598544,5:y=5820962,5;18751;18798;315,1765378;47;
cep21_carrier;1;cepVehicleType0;21_v0;5079;x=4599139,5:y=5816042,75;3434;x=4597544,5:y=5815791,0;10800;11031;1544;231;
cep21_carrier;1;cepVehicleType0;21_v0;3434;x=4597544,5:y=5815791,0;3367;x=4597067,25:y=5817389,25;11151;11441;1934,623904;290;
